"","source","author_id","created_at","conversation_id","lang","reply_settings","referenced_tweets","id","text","in_reply_to_user_id","retweetcount","reply_count","like_count","quote_count","clean_tweets","clean_tokens","word_count"
"21","Twitter for iPhone",1347760701520146432,2022-01-17 23:59:52,1483227605683904512,"en","everyone","[{'type': 'retweeted', 'id': '1482923444291489793'}]",1483227605683904512,"RT @2legit1970: They’re going to blame the supply chain issues on Covid now, then when all the unvaccinated people go back to work because…",NA,338,0,0,0,"theyre going to blame the supply chain issues on covid now then when all the unvaccinated people go back to work because","theyre,going,to,blame,the,supply,chain,issues,on,covid,now,then,when,all,the,unvaccinated,people,go,back,to,work,because",22
"22","Twitter for Android",257276137,2022-01-17 23:59:52,1483227604975230976,"en","everyone","[{'type': 'retweeted', 'id': '1483210367979626497'}]",1483227604975230976,"RT @TracyWesterman: I think when you have 58 COVID deaths in one day across just 2 states, the “Omicron is mild” argument is pretty well do…",NA,1291,0,0,0,"i think when you have 58 covid deaths in one day across just 2 states the omicron is mild argument is pretty well do","i,think,when,you,have,58,covid,deaths,in,one,day,across,just,2,states,the,omicron,is,mild,argument,is,pretty,well,do",24
"23","Twitter for Android",1399846174438350848,2022-01-17 23:59:52,1483227602018086912,"en","everyone","[{'type': 'retweeted', 'id': '1483147998259466241'}]",1483227602018086912,"RT @WHO: Every variant of the #COVID19 virus, including Omicron, is dangerous and can cause:
-severe disease
-death
-further virus mutation…",NA,839,0,0,0,"severe disease
death
further virus mutation","severe,disease
death
further,virus,mutation",4
"24","Twitter for iPhone",1531185990,2022-01-17 23:59:51,1483227597807177728,"en","everyone","[{'type': 'retweeted', 'id': '1483171819767177225'}]",1483227597807177728,"RT @TheInsiderPaper: JUST IN 🚨 Israeli trial, world’s first, finds 4th dose ‘not good enough’ against Omicron - Times of Israel",NA,1249,0,0,0,"just in 🚨 israeli trial worlds first finds 4th dose not good enough against omicron  times of israel","just,in,🚨,israeli,trial,worlds,first,finds,4th,dose,not,good,enough,against,omicron,,times,of,israel",19
"25","Twitter for iPhone",1317675775,2022-01-17 23:59:49,1483227593310900224,"en","everyone","[{'type': 'retweeted', 'id': '1483210367979626497'}]",1483227593310900224,"RT @TracyWesterman: I think when you have 58 COVID deaths in one day across just 2 states, the “Omicron is mild” argument is pretty well do…",NA,1291,0,0,0,"i think when you have 58 covid deaths in one day across just 2 states the omicron is mild argument is pretty well do","i,think,when,you,have,58,covid,deaths,in,one,day,across,just,2,states,the,omicron,is,mild,argument,is,pretty,well,do",24
"26","Twitter for Android",1230592110006542336,2022-01-17 23:59:49,1483194431754932224,"en","everyone","[{'type': 'replied_to', 'id': '1483217429610258432'}]",1483227592132022272,"@OneWonby @ABC Thanks for the irrelevant info. Doesn't change this fact
https://t.co/Ln0U2Oqy15",1265085149949169664,0,3,1,0,"  thanks for the irrelevant info doesnt change this fact
",",,thanks,for,the,irrelevant,info,doesnt,change,this,fact
",11
"27","Twitter for iPhone",2579262878,2022-01-17 23:59:49,1483227589867028480,"en","everyone","[{'type': 'retweeted', 'id': '1482899763787927553'}]",1483227589867028480,"RT @miblogestublog: omicron, waiting for me to leave my house https://t.co/OEH0WqkuoH",NA,11946,0,0,0,"omicron waiting for me to leave my house ","omicron,waiting,for,me,to,leave,my,house,",9
"28","Twitter for Android",1327666400,2022-01-17 23:59:48,1483227586935214080,"en","everyone","[{'type': 'retweeted', 'id': '1483124884653760513'}]",1483227586935214080,"RT @HGAQuentin: Omicron is everywhere.  It’s time for @JustinTrudeau and the @liberal_party government to drop travel testing and border no…",NA,1586,0,0,0,"omicron is everywhere  its time for  and the  government to drop travel testing and border no","omicron,is,everywhere,,its,time,for,,and,the,,government,to,drop,travel,testing,and,border,no",19
"29","Twitter Web App",175238215,2022-01-17 23:59:47,1483227584297304064,"en","everyone","[{'type': 'retweeted', 'id': '1483180891556163584'}]",1483227584297304064,"RT @LimespringsB: I urge everyone to watch @normanswan on ABC Breakfast today where he dispels a lot of Covid myths.

* info on effective m…",NA,196,0,0,0,"i urge everyone to watch  on abc breakfast today where he dispels a lot of covid myths

 info on effective m","i,urge,everyone,to,watch,,on,abc,breakfast,today,where,he,dispels,a,lot,of,covid,myths

,info,on,effective,m",22
"30","Twitter Web App",1405210926572212224,2022-01-17 23:59:46,1483227578290823168,"en","everyone","[{'type': 'retweeted', 'id': '1483122458332909568'}]",1483227578290823168,"RT @willieodeaLIVE: I have urged the Taoiseach and Min for Health to remove all Covid restrictions, as with the Omicron variant there is no…",NA,140,0,0,0,"i have urged the taoiseach and min for health to remove all covid restrictions as with the omicron variant there is no","i,have,urged,the,taoiseach,and,min,for,health,to,remove,all,covid,restrictions,as,with,the,omicron,variant,there,is,no",22
